forex_date,forex_volume,forex_vwap,forex_transactions,forex_open_price,forex_close_price,forex_highest_price,forex_lowest_price,forex_diff,forex_percent_inc
2023-06-06 00:00:00,143457,1.07010,143457,1.06984,1.07060,1.07395,1.06670,-.00043,.000
2023-06-07 00:00:00,140545,1.07440,140545,1.07068,1.07819,1.07873,1.07000,.00041,.000
2023-06-08 00:00:00,119471,1.07670,119471,1.07817,1.07620,1.07852,1.07370,.00790,.934
2023-06-09 00:00:00,2,1.07550,2,1.07580,1.07520,1.07580,1.07520,.00553,.934
2023-06-10 00:00:00,2571,1.07470,2571,1.07449,1.07497,1.07530,1.07429,.00422,.000
2023-06-11 00:00:00,135667,1.07570,135667,1.07498,1.07610,1.07910,1.07310,.00471,.000
2023-06-12 00:00:00,156158,1.07930,156158,1.07619,1.07893,1.08236,1.07580,.00592,.934
2023-06-13 00:00:00,154816,1.08190,154816,1.07894,1.08420,1.08640,1.07730,.00867,.934
2023-06-14 00:00:00,157177,1.08700,157177,1.08427,1.09453,1.09560,1.08020,.01400,.934
2023-06-15 00:00:00,144388,1.09430,144388,1.09454,1.09640,1.09710,1.09142,.02427,1.869
2023-06-17 00:00:00,522,1.09390,522,1.09630,1.09420,1.09630,1.09241,.02603,2.803
2023-06-18 00:00:00,91658,1.09260,91658,1.09400,1.09236,1.09470,1.09060,.02373,1.869
2023-06-19 00:00:00,159500,1.09190,159500,1.09237,1.09199,1.09462,1.08910,.02210,1.869
2023-06-20 00:00:00,168540,1.09360,168540,1.09198,1.09915,1.10070,1.09050,.02171,1.869
2023-06-21 00:00:00,158294,1.09790,158294,1.09914,1.09551,1.10118,1.09470,.02887,2.803
2023-06-22 00:00:00,164152,1.08960,164152,1.09555,1.09330,1.09590,1.08430,.02528,2.803
2023-06-23 00:00:00,1,1.09320,1,1.09320,1.09320,1.09320,1.09320,.02293,1.869
2023-06-24 00:00:00,4236,1.09040,4236,1.08996,1.09060,1.09098,1.08936,.01969,1.869
2023-06-25 00:00:00,142717,1.09060,142717,1.09064,1.09098,1.09210,1.08860,.02037,1.869
2023-06-26 00:00:00,144689,1.09430,144689,1.09097,1.09576,1.09720,1.09010,.02070,1.869
2023-06-27 00:00:00,158003,1.09350,158003,1.09574,1.09151,1.09622,1.08960,.02547,2.803
2023-06-28 00:00:00,156682,1.08940,156682,1.09170,1.08674,1.09413,1.08590,.02143,1.869
2023-06-29 00:00:00,154481,1.08850,154481,1.08672,1.09200,1.09320,1.08340,.01645,1.869
2023-07-01 00:00:00,2668,1.09090,2668,1.09110,1.09060,1.09127,1.09048,.02083,1.869
2023-07-02 00:00:00,136422,1.09030,136422,1.09074,1.09125,1.09339,1.08690,.02047,1.869
2023-07-03 00:00:00,99507,1.08990,99507,1.09130,1.08823,1.09170,1.08750,.02103,1.869
2023-07-04 00:00:00,116975,1.08750,116975,1.08825,1.08549,1.09080,1.08498,.01798,1.869
2023-07-05 00:00:00,141829,1.08680,141829,1.08552,1.08896,1.09005,1.08320,.01525,1.869
2023-07-06 00:00:00,151162,1.09130,151162,1.08897,1.09750,1.09760,1.08650,.01870,1.869
2023-07-07 00:00:00,2,1.09700,2,1.09710,1.09690,1.09710,1.09690,.02683,2.803
2023-07-08 00:00:00,3382,1.09660,3382,1.09680,1.09680,1.09700,1.09570,.02653,2.803
2023-07-09 00:00:00,157163,1.09690,157163,1.09668,1.10040,1.10090,1.09420,.02641,2.803
2023-07-10 00:00:00,148615,1.10030,148615,1.10051,1.10134,1.10269,1.09760,.03024,2.803
2023-07-11 00:00:00,171535,1.10710,171535,1.10133,1.11405,1.11410,1.10100,.03106,2.803
2023-07-12 00:00:00,166823,1.11760,166823,1.11403,1.12235,1.12300,1.11280,.04376,3.737
2023-07-13 00:00:00,188716,1.12280,188716,1.12233,1.12460,1.12470,1.11878,.05206,4.672
2023-07-14 00:00:00,1,1.12350,1,1.12350,1.12350,1.12350,1.12350,.05323,4.672
2023-07-15 00:00:00,3889,1.12270,3889,1.12228,1.12272,1.12364,1.12228,.05201,4.672
2023-07-16 00:00:00,160871,1.12320,160871,1.12270,1.12374,1.12490,1.12030,.05243,4.672
2023-07-17 00:00:00,198921,1.12400,198921,1.12371,1.12282,1.12757,1.12084,.05344,4.672
2023-07-18 00:00:00,197853,1.12130,197853,1.12278,1.12048,1.12402,1.11730,.05251,4.672
2023-07-19 00:00:00,196468,1.11820,196468,1.12050,1.11344,1.12291,1.11170,.05023,4.672
2023-07-20 00:00:00,175028,1.11290,175028,1.11344,1.11320,1.11450,1.11070,.04317,3.737
2023-07-21 00:00:00,2,1.11290,2,1.11310,1.11270,1.11310,1.11270,.04283,3.737
2023-07-22 00:00:00,3833,1.11270,3833,1.11240,1.11240,1.11336,1.11190,.04213,3.737
