dates_date,open_price,close_price,highest_price,lowest_price,diff,percen_inc,netflix_growth
2023-06-20,430,434,440,430,132,44.30,116
2023-06-21,432,424,434,422,134,44.97,117
2023-06-22,422,422,424,418,124,41.61,118
2023-06-23,418,424,425,417,120,40.27,119
2023-06-26,422,415,430,414,124,41.61,120
2023-06-27,417,417,420,411,119,39.93,121
2023-06-28,423,429,437,422,125,41.95,122
2023-06-29,434,428,437,426,136,45.64,123
2023-06-30,431,440,444,431,133,44.63,124
2023-07-03,439,441,441,431,141,47.32,125
2023-07-05,444,445,450,439,146,48.99,126
2023-07-06,440,438,442,430,142,47.65,127
2023-07-07,438,438,442,435,140,46.98,128
2023-07-10,438,441,444,436,140,46.98,129
2023-07-11,438,440,440,431,140,46.98,130
2023-07-12,444,444,445,437,146,48.99,131
2023-07-13,447,450,451,441,149,50.00,132
2023-07-14,452,441,456,439,154,51.68,133
2023-07-17,445,450,456,445,147,49.33,134
2023-07-18,451,474,478,448,153,51.34,135
2023-07-19,476,477,485,470,178,59.73,136
2023-07-20,447,437,448,432,149,50.00,137
2023-07-21,437,427,438,423,139,46.64,138
2023-07-24,425,428,428,419,127,42.62,139
2023-07-25,427,427,430,426,129,43.29,140
2023-07-26,424,422,425,415,126,42.28,141
2023-07-27,426,413,427,411,128,42.95,142
2023-07-28,415,425,427,413,117,39.26,143
2023-07-31,426,438,439,426,128,42.95,144
2023-08-01,437,438,445,431,139,46.64,145
2023-08-02,435,429,435,426,137,45.97,146
2023-08-03,427,431,441,427,129,43.29,147
2023-08-04,433,431,436,426,135,45.30,148
2023-08-07,436,440,441,428,138,46.31,149
2023-08-08,440,438,443,435,142,47.65,150
2023-08-09,439,428,440,427,141,47.32,151
2023-08-10,431,429,438,428,133,44.63,152
2023-08-11,428,421,430,421,130,43.62,153
2023-08-14,421,427,428,418,123,41.28,154
2023-08-15,424,423,429,421,126,42.28,155
2023-08-16,423,415,424,415,125,41.95,156
2023-08-17,415,403,415,401,117,39.26,157
2023-08-18,399,404,406,398,101,33.89,158
2023-08-21,402,408,409,399,104,34.90,159
2023-08-22,409,413,415,407,111,37.25,160
2023-08-23,418,427,437,417,120,40.27,161
2023-08-24,425,406,427,406,127,42.62,162
2023-08-25,412,416,419,407,114,38.26,163
2023-08-28,418,418,419,413,120,40.27,164
2023-08-29,416,429,432,414,118,39.60,165
2023-08-30,430,434,438,428,132,44.30,166
2023-08-31,431,433,437,431,133,44.63,167
2023-09-01,437,439,445,435,139,46.64,168
2023-09-05,438,448,453,438,140,46.98,169
2023-09-06,448,445,451,440,150,50.34,170
